Brisbane Strikers - Brisbane U21,1.02,1
SWQ Thunder - Moreton Bay Utd,1.12,1
Moreton Bay Utd - Sunshine Coast,1.01,1
Western Pride - SWQ Thunder,1.11,1
Brisbane Strikers - Redlands,1.12,1
Sunshine Coast - Western Pride,1.02,1
Northern Fury - Brisbane Strikers,1.25,1
SWQ Thunder - Olympic FC,1.31,0
Northern Fury - Western Pride,1.35,1
Gold Coast City - Brisbane U21,1.15,1
Brisbane U21 - Sunshine Coast,1.15,1
SWQ Thunder - Brisbane Strikers,1.12,0
Gold Coast City - Northern Fury,1.2,0
Olympic FC - F.N.Q. Heat,1.45,1
Sunshine Coast - Brisbane Strikers,1.01,1
Gold Coast City - Redlands,1.13,1
Olympic FC - Sunshine Coast,1.01,1
Sunshine Coast - Northern Fury,1.27,1
SWQ Thunder - Gold Coast City,1.21,1
F.N.Q. Heat - Brisbane U21,1.34,1
Brisbane U21 - Moreton Bay Utd,1.4,1
Gold Coast City - Sunshine Coast,1.02,1
Brisbane Strikers - F.N.Q. Heat,1.29,0
Brisbane Strikers - Brisbane U21,1.02,1
SWQ Thunder - Moreton Bay Utd,1.12,1
Moreton Bay Utd - Sunshine Coast,1.01,1
Western Pride - SWQ Thunder,1.11,1
Brisbane Strikers - Redlands,1.12,1
Sunshine Coast - Western Pride,1.02,1
Northern Fury - Brisbane Strikers,1.25,1
SWQ Thunder - Olympic FC,1.31,0
Northern Fury - Western Pride,1.35,1
Gold Coast City - Brisbane U21,1.15,1
Brisbane U21 - Sunshine Coast,1.15,1
SWQ Thunder - Brisbane Strikers,1.12,0
Gold Coast City - Northern Fury,1.2,0
Olympic FC - F.N.Q. Heat,1.45,1
Sunshine Coast - Brisbane Strikers,1.01,1
Gold Coast City - Redlands,1.13,1
Olympic FC - Sunshine Coast,1.01,1
Sunshine Coast - Northern Fury,1.27,1
SWQ Thunder - Gold Coast City,1.21,1
F.N.Q. Heat - Brisbane U21,1.34,1
Brisbane U21 - Moreton Bay Utd,1.4,1
Gold Coast City - Sunshine Coast,1.02,1
Brisbane Strikers - F.N.Q. Heat,1.29,0
Brisbane Strikers - Brisbane U21,1.02,1
SWQ Thunder - Moreton Bay Utd,1.12,1
Moreton Bay Utd - Sunshine Coast,1.01,1
Western Pride - SWQ Thunder,1.11,1
Brisbane Strikers - Redlands,1.12,1
Sunshine Coast - Western Pride,1.02,1
Northern Fury - Brisbane Strikers,1.25,1
SWQ Thunder - Olympic FC,1.31,0
Northern Fury - Western Pride,1.35,1
Gold Coast City - Brisbane U21,1.15,1
Brisbane U21 - Sunshine Coast,1.15,1
SWQ Thunder - Brisbane Strikers,1.12,0
Gold Coast City - Northern Fury,1.2,0
Olympic FC - F.N.Q. Heat,1.45,1
Sunshine Coast - Brisbane Strikers,1.01,1
Gold Coast City - Redlands,1.13,1
Olympic FC - Sunshine Coast,1.01,1
Sunshine Coast - Northern Fury,1.27,1
SWQ Thunder - Gold Coast City,1.21,1
F.N.Q. Heat - Brisbane U21,1.34,1
Brisbane U21 - Moreton Bay Utd,1.4,1
Gold Coast City - Sunshine Coast,1.02,1
Brisbane Strikers - F.N.Q. Heat,1.29,0
Perth SC - Devonport,1.14,1
Bentleigh Greens - Edgeworth E.,1.33,0
Olympic FC - Western Pride,1.36,0
F.N.Q. Heat - SWQ Thunder,1.2,0
Moreton Bay Utd - North Queensland,1.14,0
Sunshine Coast - Gold Coast City,1.45,1
Gold Coast City - Brisbane U21,1.32,1
North Queensland - Brisbane Strikers,1.06,1
Sunshine Coast - SWQ Thunder,1.35,0
Redlands - North Queensland,1.18,1
Brisbane Strikers - Western Pride,1.18,1
North Queensland - Brisbane U21,1.37,1
SWQ Thunder - Olympic FC,1.31,1
Brisbane City - North Queensland,1.1,0
SWQ Thunder - Gold Coast City,1.4,1
Redlands - Western Pride,1.48,1
Gold Coast City - North Queensland,1.1,1
Brisbane Strikers - Olympic FC,1.35,0
Moreton Bay Utd - SWQ Thunder,1.34,0
North Queensland - F.N.Q. Heat,1.17,1
Perth SC - Devonport,1.14,1
Bentleigh Greens - Edgeworth E.,1.33,0
Olympic FC - Western Pride,1.36,0
F.N.Q. Heat - SWQ Thunder,1.2,0
Moreton Bay Utd - North Queensland,1.14,0
Sunshine Coast - Gold Coast City,1.45,1
Gold Coast City - Brisbane U21,1.32,1
North Queensland - Brisbane Strikers,1.06,1
Sunshine Coast - SWQ Thunder,1.35,0
Redlands - North Queensland,1.18,1
Brisbane Strikers - Western Pride,1.18,1
North Queensland - Brisbane U21,1.37,1
SWQ Thunder - Olympic FC,1.31,1
Brisbane City - North Queensland,1.1,0
SWQ Thunder - Gold Coast City,1.4,1
Redlands - Western Pride,1.48,1
Gold Coast City - North Queensland,1.1,1
Brisbane Strikers - Olympic FC,1.35,0
Moreton Bay Utd - SWQ Thunder,1.34,0
North Queensland - F.N.Q. Heat,1.17,1
Perth SC - Devonport,1.14,1
Bentleigh Greens - Edgeworth E.,1.33,0
Olympic FC - Western Pride,1.36,0
F.N.Q. Heat - SWQ Thunder,1.2,0
Moreton Bay Utd - North Queensland,1.14,0
Sunshine Coast - Gold Coast City,1.45,1
Gold Coast City - Brisbane U21,1.32,1
North Queensland - Brisbane Strikers,1.06,1
Sunshine Coast - SWQ Thunder,1.35,0
Redlands - North Queensland,1.18,1
Brisbane Strikers - Western Pride,1.18,1
North Queensland - Brisbane U21,1.37,1
SWQ Thunder - Olympic FC,1.31,1
Brisbane City - North Queensland,1.1,0
SWQ Thunder - Gold Coast City,1.4,1
Redlands - Western Pride,1.48,1
Gold Coast City - North Queensland,1.1,1
Brisbane Strikers - Olympic FC,1.35,0
Moreton Bay Utd - SWQ Thunder,1.34,0
North Queensland - F.N.Q. Heat,1.17,1
Bayswater - Olympia Warriors,1.42,1
Blacktown City - Canberra FC,1.38,1
South Melbourne - Olympia Warriors,1.34,0
Olympic FC - Western Pride,1.22,1
